"MutationType","HepG2_Duo_100pM_2mth_cl2"
"G[Ins(T):R2]G",1
"G[Ins(T):R3]A",6
"G[Ins(T):R3]C",3
"G[Ins(T):R3]G",3
"G[Ins(T):R4]A",1
"G[Ins(T):R4]C",0
"G[Ins(T):R4]G",1
"G[Ins(T):R5]A",0
"G[Ins(T):R5]C",1
"G[Ins(T):R5]G",0
"G[Ins(T):R6]A",0
"G[Ins(T):R6]C",1
"G[Ins(T):R6]G",0
"G[Ins(T):R7]A",1
"G[Ins(T):R7]C",0
"G[Ins(T):R7]G",0
"G[Ins(T):R8]A",0
"G[Ins(T):R8]C",0
"G[Ins(T):R8]G",0
"G[Ins(T):R(9,)]A",0
"G[Ins(T):R(9,)]C",0
"G[Ins(T):R(9,)]G",0
"Del2:U1:R1",6
"Del3:U1:R1",1
"Del4:U1:R1",2
"Del5:U1:R1",0
"Del6:U1:R1",0
"Del7:U1:R1",0
"Del8:U1:R1",0
"Del9:U1:R1",0
"Del(10,):U1:R1",0
"Del2:U(2,):R1",20
"Del3:U(2,):R1",3
"Del4:U(2,):R1",7
"Del5:U(2,):R1",1
"Del6:U(2,):R1",0
"Del7:U(2,):R1",1
"Del8:U(2,):R1",0
"Del9:U(2,):R1",1
"Del(10,):U(2,):R1",0
"Del2:U1:R3",5
"Del2:U1:R4",0
"Del2:U1:R(5,)",4
"Del2:U2:R2",5
"Del2:U2:R3",1
"Del2:U2:R4",1
"Del2:U2:R(5,)",2
"Del3:U1:R4",2
"Del3:U1:R(5,)",1
"Del3:U3:R2",4
"Del3:U3:R3",3
"Del3:U3:R4",0
"Del3:U3:R(5,)",0
"Del4:U1:R(5,)",0
"Del4:U2:R3",0
"Del4:U2:R4",0
"Del4:U2:R(5,)",1
"Del4:U4:R2",3
"Del4:U4:R3",2
"Del4:U4:R4",0
"Del4:U4:R(5,)",0
"Del5:U1:R(5,)",0
"Del5:U5:R2",0
"Del5:U5:R3",0
"Del5:U5:R4",0
"Del5:U5:R(5,)",0
"Del(6,):U1:R(7,)",0
"Del(6,):U2:R(4,)",0
"Del(6,):U3:R(3,)",0
"Del(6,):U(4,):R(2,)",2
"Ins(2,4):M",37
"Ins(5,):M",6
"Ins2:U1:R0",8
"Ins3:U1:R0",0
"Ins4:U1:R0",0
"Ins2:U2:R0",3
"Ins3:U3:R0",3
"Ins4:U2:R0",0
"Ins4:U4:R0",1
"Ins(5,):R0",0
"Ins2:U1:R1",5
"Ins2:U1:R2",1
"Ins2:U1:R3",0
"Ins2:U1:R4",0
"Ins2:U1:R(5,)",1
"Ins2:U2:R1",4
"Ins2:U2:R2",0
"Ins2:U2:R3",0
"Ins2:U2:R4",0
"Ins2:U2:R(5,)",0
"Ins3:U1:R1",0
"Ins3:U1:R2",1
"Ins3:U1:R3",0
"Ins3:U1:R4",0
"Ins3:U1:R(5,)",0
"Ins3:U3:R1",3
"Ins3:U3:R2",1
"Ins3:U3:R3",0
"Ins3:U3:R4",0
"Ins3:U3:R(5,)",0
"Ins4:U1:R1",0
"Ins4:U1:R2",0
"Ins4:U1:R3",0
"Ins4:U1:R4",0
"Ins4:U1:R(5,)",0
"Ins4:U2:R1",0
"Ins4:U2:R2",0
"Ins4:U2:R3",0
"Ins4:U2:R4",0
"Ins4:U2:R(5,)",0
"Ins4:U4:R1",1
"Ins4:U4:R2",0
"Ins4:U4:R3",0
"Ins4:U4:R4",0
"Ins4:U4:R(5,)",0
"Ins(5,):U1:R1",0
"Ins(5,):U1:R2",0
"Ins(5,):U1:R3",0
"Ins(5,):U1:R4",0
"Ins(5,):U1:R(5,)",0
"Ins(5,):U2:R1",0
"Ins(5,):U2:R2",0
"Ins(5,):U2:R3",0
"Ins(5,):U2:R4",0
"Ins(5,):U2:R(5,)",0
"Ins(5,):U(3,):R1",0
"Ins(5,):U(3,):R2",0
"Ins(5,):U(3,):R3",0
"Ins(5,):U(3,):R4",0
"Ins(5,):U(3,):R(5,)",0
"Del2:M1",2
"Del3:M1",3
"Del3:M2",1
"Del4:M1",3
"Del4:M2",3
"Del4:M3",1
"Del5:M1",0
"Del5:M2",0
"Del5:M3",0
"Del5:M4",0
"Del6:M1",2
"Del6:M2",0
"Del6:M3",0
"Del6:M4",0
"Del6:M5",0
"Del(7,):M1",0
"Del(7,):M2",2
"Del(7,):M3",1
"Del(7,):M4",0
"Del(7,):M5",0
"Del(7,):M(6,)",0
"Complex(0,1)",0
"Complex(2,5)",0
"Complex(6,10)",0
"Complex(11,20)",0
"Complex(21,)",0
